url_first_clean,count
https://www.google.com/amp/s/www.fakt.pl/wydarzenia/polska/trojmiasto/zabojca-pawla-adamowicza-nie-trafi-do-wiezienia-stefan-w-uznany-za-niepoczytalnego/l0mm16f.amp#scso=_2iP6XIPCNuHMrgTjpKuACQ18:119.33333587646484,1
"https://www.google.com/amp/www.tokfm.pl/Tokfm/7,103085,24865623,smierc-pawla-adamowicza-koniec-obserwacji-psychiatrycznej-stefana.amp",1
https://www.google.com/search?q=Pawe%C5%82+adamowicz&oq=Pawe%C5%82+adamowicz&aqs=chrome..69i57j0l3.3553j0j7&client=ms-android-huawei&sourceid=chrome-mobile&ie=UTF-8,1
https://www.google.com/search?q=pawel+adamowicz&oq=pawel+adamowicz&aqs=chrome..69i57.2735j0j7&client=ms-android-om-lge&sourceid=chrome-mobile&ie=UTF-8#ip=1,1
https://www.google.com/search?q=Paweł+Adamowicz&oq=Paweł+Adamowicz&aqs=chrome..69i57.4462j0j7&client=ms-android-huawei&sourceid=chrome-mobile&ie=UTF-8,1
https://www.google.com/search?q=paweł+Adamowicz&oq=paweł+Adamowicz&aqs=chrome..69i57.8007j0j7&client=ms-android-lenovo&sourceid=chrome-mobile&ie=UTF-8,1
"https://www.google.pl/amp/s/fakty.interia.pl/raporty/raport-pawel-adamowicz-nie-zyje/aktualnosci/newsamp-zabojca-adamowicza-nie-trafi-do-wiezienia-jest-oswiadczenie-,nId,3032118",1
https://www.rp.pl/Polityka/190119663-Prezydent-Gdanska-Pawel-Adamowicz-nie-zyje.html,1
https://www.trojmiasto.pl/wiadomosci/Pawel-Adamowicz-o1.html,1
"https://www.tvn24.pl › krakow,50 › zako... Koniec obserwacji psychiatrycznej zabójcy Pawła Adamowicza",1
"https://www.wprost.pl › Tematy Paweł Adamowicz - newsy, biografia, wiadomości, życiorys - WPROST.pl",1
"https://www.wprost.pl › Tematy Paweł Adamowicz - newsy, biografia, wiadomości, życiorys ...",1
Paweł Adamowicz – Prezydent Gdańska Paweł Adamowicz adamowicz.pl,1
Paweł Adamowicz Home Facebook,1
Paweł Adamowicz YouTube,1
Tokfm pl,1
Tokfm.pl,1
Trójmiasto,1
Tysol.pl,1
Wprost pl,1
Wprostpl,1
